clean_content,score,label
aplikasinya bagusss buat belajar bahasa asingg dan mudah di mengerti tapi terkadang terjadi bug yang tidak menyenangkan saat memutar atau membuat audio sehingga beberapa pengguna nyaman mohon untuk perhatikan lagi kegunaannya masih banyak kelebihan aplikasi ini jadi ayooo download,5,positif
asli Duolingo bagus banget Dari awal malas belajar bahasa tapi karena udah banyak update dan bisa buat ava jadi makin cemungut Thank you telah membuat aplikasi ini semoga ditingkatkan lagi yaa contoh chat orang luar negeri dll,5,positif
とても good aku bisa belajar bahasa Inggris dan Jepang secara bersamaan hehe misinya juga beragam yah walaupun setiap selesai main ada iklannya tapi ya ngga apa lah sebagai ganti gratisan wkwk so far bagussss bangetttt edit tolong dong developer ditambahkan fitur diskusi yang di pelajaran edited wahai mohon dengan sangat adil masa menyelesaikan misi teman lebih banyak temanku dapat hadiah kan adillll,5,positif
Aplikasi yang seru mudah dipahami ada rank setiap Minggu karakter imut dan latihan kata Namun beberapa tidak saya suka di app ini kadang bug foto akun bisa diperbarui LGBT menggangu sangat nyambung padahal aplikasi sudah gunakan selama 4 tahun namun sayang begitu kenyataan hampir mau uninstall ah sudahlah,1,negatif
aplikasinya seru kayak game jadi kita gak bosen latihannya duolingo juga konsisten dalam mengajari berbahasa inggris benar ingin fasih kalian bisa pilih metode pembelajaran yang cocok sama skill,5,positif
Sangat membantu dalam belajar mendengar berbicara dan menulis bahasa asing Saya menyarankan semua orang kalau mau bisa inggris dsb downloadlah aplikasi ini Model pembelajarannya sangat bagus untuk yg lain sama sekali belum tahu banyak hal pembelajaran,5,positif
Aplikasi ini berubah menjadi jelek dan lebih baik setelah update Karena 1 Dulu duolingo memiliki visi belajar dengan gratis namun apk fitur berbayar untuk menghapus iklan lain hal sebagainya 2 Sebelum tidak ada loading menyelesaikan satu pelajaran kini lama padahal jaringan saya bagus 3 Setelah pembelajaran dibuat menantang diberikannya nyawa diamond melakukan kelas aku mengapresiasi,4,positif
apk nya sangat membantu kami belajar bahasa baru karna bantuan duolingo saya sudah bisa berbahasa Inggris dan Korea Terima kasih atas love sebanyak banyak untuk developer pencipta ini terbantu di setiap pelajaran disekolah juga langsung paham tapi ketika ada latihan berbicara aplikasi masih kurang mendengarkan apa yang ucapkan sampai harus mengulang berkali kali mohon perbaiki thank you,4,positif
Saya uji coba penggunaan super duolinggo selama 2 minggu Setelah uang saya pada aplikasi dana terkuras dg keterangan langganan 1 tahun Padahal sebelum nya hanya Dan tidak berlangganan untk MELANJUTKAN SUPER DUOLINGGO tapi tian tiba secara otomatisss,1,negatif
aplikasinya keren konsisten dan sangat membantu dalam menghafal vocabulary karena pelajarannya yg berulang lalu next level desainnya juga menarik jadi membuat belajar terasa menyenangkan,5,positif
Tambahkan detail detailnya dong kayak penggunaan de het sama the dalam bahasa belanda dll Karena jadi sulit untuk jawab soal yang bagian translate bingung juga Trus ada bug dimana gambarnya itu gak animasinya padahal di settings udah dinyalain jadinya kurang rame gitu Lalu ini Ada xp boost tapi pakai timer 15 menit tergantung mungkin gabisa dihentikan timernya lagi gamau belajar kepakai dan kebuang sia,3,netral
Untuk Duolingo terima kasih sudah membantu saya dalam BHS inggris tetapi ada satu masalahnya nih yaitu aplikasi nya kadang bug pada saat pembelajaran jadinya kita yang mau belajar ini tidak bagus Jadi untuk permantap lagi lah aplikasinya dan jangan supaya nyaman,5,positif
Ini kok makin dibuka apknya ngeselin ya Awal awal bagus tpi pas udh lama pake jdi suka error sendiri gitu Kadang habis nyelesain soalkan muncul iklan nah biasa lah gratisan tapi ini setelah layar nya malah gelap gak bisa dipencet lagi jadi harus kluar masuk apk terus menerus tiap kali ada Dan audionya hilang jawaban yang aku cantumkan seharusnya benar salah vn suara itu suaraku ketangkep padahal teriak Dipebaiki,2,negatif
Duolingo belajar yang sangat baguss untuk saya berusia 9 thn say ingin bahasa inggris karena agar bisa pergi² hampir semua negara memakai jadi tertarik dari dualingo bagus tapi saat jawab dengan salah belum ya itu di gantung menjadi sebelum nya situ bingg mmu tetap lewati,5,positif
Salut sih ini apk kita belajar bahasa secara gratis meskipun ada fitur berbayar yang lebih spektakuler sangat bermanfaat bagi saya sedang mencoba asing dan tapi andai kalau jepang ke Indonesia pasti bagus lagi tolong adakan salin text translate karena ketika mendapat komentar dari negara lain bisa mengetahui apa mereka ucapkan Org arab komen jdi gk paham semoga di read sama pihak duolingo tentang hal Thanks Duolingo,5,positif
aku suka sangat membantu dan seruu bangettt tingkatkan lagi fitur nya tolong adakan untuk belajar simpel past tense yg lainnya di bahasa Inggris terimakasih Duolingo semoga kedepannya makin bagus,5,positif
meningkatkan belajar bahasa Inggris walau ga selengkap seperti yg disekolah Duolingo melatih pengucapan mempelajari kata baru dan rumus kalimat walaupun rumusnya di jelasin Eh tapi tau deh karena saya mulai dari awal mungkin dia ada nya cukup membantu untuk ingin mata pelajaran B Ing tiap hari Thanks,5,positif
e aplikasi ini sangat membantu sih menurutku karena aku belajar di duolingo itu baru sebentar dan merasa kalau udh bisa ku kasih rating empat bolos sekali aja nilainya kurang ok makasih,4,positif
Aplikasi ini sangat cocok untuk orang yang ingin belajar bahasa Inggris secara santai mandiri tetapi konsisten Saya suka sekali saya akan merekomendasikan aplikasi kepada siswa siswi,5,positif
Asik Belajar di sini bener² kaya main game amazing ga nyesel deh unduh Duolingo buat belajar Bahasa² apapun juga sering banget ngingetin jangan lupa Kita bisa mendengar menulis mengucap Ada beberapa tantangan dan kita bersaing dg teman² yg ada loo Yuk buruan,5,positif
Aplikasi ini membantu banget buat belajar bahasa baru terus sering dikasih hadiah kalo rajin latihan Tiap minggu juga ada turnamen orang yang aktif di Duolingo jadi gak bakal bosen deh Kalo kamu bisa jawab bukan salah ya itu berarti kamunya aja lolot,5,positif
