content,score,clean_content
"aplikasinya bagusss buat belajar bahasa asingg dan mudah di mengerti,tapi terkadang terjadi bug yang tidak menyenangkan saat memutar atau membuat audio sehingga membuat beberapa pengguna tidak nyaman mohon untuk di perhatikan lagi.... tapi untuk kegunaannya masih banyak kelebihan di aplikasi ini jadi ayooo download",5,bagus buat ajar bahasa asingg dan mudah di mengertitapi terkadang jadi bug tidak senang saat putar atau audio sehingga beberapa guna nyaman mohon untuk perhati lagi tapi masih banyak lebih ini ayo
"asli, Duolingo bagus banget!😭 Dari awal malas banget belajar bahasa, tapi karena udah banyak update dan bisa buat ava, jadi makin cemungut belajar bahasa... Thank you Duolingo telah membuat aplikasi ini♥️ semoga bisa ditingkatkan lagi yaa (contoh: bisa chat orang luar negeri, ava ditingkatkan dll) >•<",5,asli bagus banget dari awal malas ajar bahasa tapi karena udah banyak update dan bisa buat ava jadi makin cemungut thank you telah ini moga tingkat lagi yaa contoh chat orang luar negeri dll
"とても good.. aku bisa belajar bahasa Inggris dan Jepang secara bersamaan hehe.. misinya juga beragam😁 yah, walaupun setiap selesai main ada iklannya, tapi ya ngga apa-apa lah.. sebagai ganti gratisan wkwk.. so far bagussss bangetttt ❤️❤️ edit: tolong dong developer, ditambahkan fitur diskusi yang ada di pelajaran.. edited: wahai developer, aku mohon dengan sangat.. yang adil dong 😔.. masa aku yang menyelesaikan misi teman lebih banyak, temanku juga dapat hadiah 😔😔 kan ngga adillll",5,good aku bisa ajar bahasa inggris dan jepang cara sama hehe misi juga agam yah walaupun tiap selesai main ada iklan tapi ya ngga apaapa lah bagai ganti gratis wkwk so far bagus banget edit tolong dong developer tambah fitur diskusi di edited wahai mohon dengan sangat adil masa lebih banyak dapat hadiah kan
"Aplikasi yang seru, mudah dipahami, ada rank setiap Minggu, karakter yang imut, dan latihan kata. Namun beberapa yang tidak saya suka di app ini, kadang suka bug, foto akun tidak bisa diperbarui, ada LGBT yang menggangu, sangat tidak nyambung, padahal aplikasi ini sudah saya gunakan selama 4 tahun, namun sayang begitu kenyataan, saya hampir mau uninstall namun ah sudahlah.",1,seru mudah paham ada rank tiap minggu karakter imut dan latih kata namun beberapa tidak saya suka di ini kadang bug foto akun bisa baru lgbt menggangu sangat nyambung padahal sudah guna lama tahun sayang begitu nyata hampir mau uninstall ah
"aplikasinya seru, kayak game jadi kita gak bosen latihannya duolingo juga konsisten dalam mengajari kita berbahasa inggris, benar benar ingin kita fasih dalam berbahasa inggris. kalian juga bisa pilih metode pembelajaran yang cocok sama skill kalian.",5,seru kayak game jadi kita tidak bosen latih juga konsisten dalam ajar bahasa inggris benar ingin fasih kalian bisa metode cocok sama skill
"Sangat membantu dalam belajar mendengar, berbicara, dan menulis bahasa-bahasa asing. Saya menyarankan semua orang kalau mau bisa berbicara bahasa inggris dsb, downloadlah aplikasi ini. Model pembelajarannya sangat bagus untuk orang yg lain sama sekali belum tahu banyak hal dalam pembelajaran bahasa asing.",5,sangat bantu dalam ajar dengar dan tulis bahasabahasa saya saran semua orang kalau mau bisa bahasa inggris dsb downloadlah ini model bagus untuk lain sama sekali belum tahu banyak hal
"Aplikasi ini berubah menjadi jelek dan lebih baik setelah update Karena: 1. Dulu duolingo memiliki visi belajar dengan gratis namun setelah update apk ini memiliki fitur berbayar untuk menghapus iklan dan lain hal sebagainya 2. Sebelum update tidak ada loading setelah menyelesaikan satu pelajaran kini loading menjadi lama padahal jaringan saya bagus 3. Setelah update pembelajaran dibuat lebih menantang dengan diberikannya nyawa dan diamond untuk melakukan kelas,aku mengapresiasi ini👍",4,ini ubah jadi jelek dan lebih baik telah update karena dulu milik visi ajar dengan gratis namun fitur bayar untuk hapus iklan lain hal bagai belum tidak ada loading selesai satu kini lama padahal saya bagus buat tantang beri nyawa diamond laku kelasa apresiasi
"apk nya sangat membantu kami belajar bahasa baru, karna bantuan duolingo saya sudah bisa berbahasa Inggris,dan Korea, Terima kasih atas bantuan nya, love sebanyak banyak nya untuk developer dan pencipta apk ini, saya sangat terbantu ,di setiap pelajaran disekolah saya juga langsung paham, tapi ketika ada latihan berbicara aplikasi ini masih kurang mendengarkan apa yang saya ucapkan , sampai harus mengulang berkali kali, mohon perbaiki, thank you.",4,sangat bantu kami ajar bahasa baru karna saya sudah bisa inggrisdan korea terima kasih atas love banyak untuk developer dan cipta ini di tiap seko juga langsung paham tapi ketika ada latih masih kurang dengar apa ucap sampai harus ulang kali mohon baik thank you
Saya uji coba penggunaan super duolinggo selama 2 minggu. Setelah 2 minggu uji coba uang saya pada aplikasi dana terkuras dg keterangan langganan super duolinggo selama 1 tahun!!! Padahal sebelum nya saya hanya uji coba!!! Dan saya tidak berlangganan untk MELANJUTKAN SUPER DUOLINGGO tapi uang saya tian tiba terkuras secara otomatisss!!!!,1,saya uji coba guna super duolinggo lama minggu telah uang pada dana kuras dg terang langgan tahun padahal belum hanya dan tidak untuk lanjut tapi tian tiba cara otomatis
"aplikasinya keren konsisten dan sangat membantu dalam menghafal vocabulary karena pelajarannya yg berulang lalu next level, desainnya juga menarik jadi membuat belajar terasa menyenangkan",5,keren konsisten dan sangat bantu dalam hafal vocabulary karena ajar ulang lalu next level desain juga tarik jadi buat asa senang
"Tambahkan detail detailnya dong, kayak penggunaan de/het (sama kayak the) dalam bahasa belanda, dll. Karena jadi sulit untuk jawab soal yang bagian translate, bingung juga. Trus ada bug dimana gambarnya itu gak ada animasinya, padahal di settings udah dinyalain, jadinya kayak kurang rame gitu. Lalu ini... Ada xp boost tapi pakai timer 15 menit (tergantung mungkin) tapi gabisa dihentikan timernya padahal lagi gamau belajar, jadinya xp boost 15 menit itu gak kepakai dan kebuang sia sia :)",3,tambah detail dong kayak guna dehet sama dalam bahasa belanda dll karena jadi sulit untuk jawab soal bagi translate bingung juga trus ada bug mana gambar itu tidak animasi padahal di settings udah dinyalain kurang rame gitu lalu ini xp boost tapi timer menit gantung mungkin gabisa henti timernya lagi gamau ajar dan buang sia
Untuk Duolingo terima kasih 👌sudah membantu saya dalam BHS inggris tetapi ada satu masalahnya nih yaitu aplikasi nya kadang bug pada saat pembelajaran jadinya kita yang mau belajar ini tidak bagus. Jadi untuk Duolingo permantap lagi lah aplikasinya dan jangan ada bug 😁😁 supaya kita yang belajar ini nyaman 😌,5,untuk terima kasih sudah bantu saya dalam bhs inggris tetapi ada satu masalah nih yaitu kadang bug pada saat ajar jadi kita mau ini tidak bagus mantap lagi lah dan jangan supaya nyaman
"Ini kok makin dibuka apknya makin ngeselin ya. Awal awal bagus tpi pas udh lama pake jdi suka error' sendiri gitu . Kadang habis nyelesain soalkan muncul iklan ya nah biasa lah gratisan tapi ini setelah iklan layar nya malah gelap gak bisa dipencet lagi , jadi harus kluar masuk apk terus menerus tiap kali ada iklan gitu terus. Dan ini audionya suka hilang, jawaban yang aku cantumkan yang seharusnya benar malah salah, pas vn suara itu suaraku malah gak ketangkep padahal udh teriak. Dipebaiki lagi",2,ini kok makin buka apknya ngeselin ya awal bagus tpi pas udh lama pake jdi suka error sendiri gitu kadang habis nyelesain soal muncul iklan nah biasa lah gratis tapi telah layar malah gelap tidak bisa pencet lagi jadi harus kluar masuk terus tiap kali ada dan audio hilang jawab aku cantum benar salah vn itu ketangkep padahal teriak baik
Duolingo belajar yang sangat baguss untuk saya yang berusia 9 thn say ingin belajar bahasa inggris karena agar bisa pergi² hampir semua negara bisa memakai inggris jadi saya tertarik untuk belajar dari dualingo sangat bagus tapi saat say jawab dengan salah yang belum ya itu di gantung menjadi saya salah yang sebelum nya saya di situ bingg mmu ?? tapi tetap saya bisa lewati 🌈😺😺,5,ajar sangat baguss untuk saya usia thn sayang ingin bahasa inggris karena agar bisa pergi2 hampir semua negara jadi tarik dari dualingo bagus tapi saat jawab dengan salah belum ya itu di gantung situ bingg mmu tetap lewat
"Salut sih ini apk kita belajar bahasa secara gratis meskipun ada fitur berbayar yang lebih spektakuler, ini sangat bermanfaat bagi saya yang sedang mencoba bahasa asing dan gratis tapi andai kalau bahasa jepang ke bahasa Indonesia pasti lebih bagus lagi dan tolong adakan fitur salin text/translate, karena ketika kita mendapat komentar dari negara lain kita bisa mengetahui apa yang mereka ucapkan. Org arab komen jdi gk paham. semoga di read sama pihak duolingo tentang hal ini😁 Thanks Duolingo",5,salut ini kita ajar bahasa cara gratis meski ada fitur bayar lebih spektakuler sangat manfaat bagi saya sedang coba dan tapi andai kalau jepang ke pasti bagus lagi tolong adakan salin texttranslate karena ketika dapat komentar dari negara lain bisa tahu apa mereka ucap org arab komen jdi gk paham moga di read sama pihak tentang hal thanks
"aku suka sangat membantu dan seruu bangettt, tingkatkan lagi fitur"" nya tolong adakan fitur untuk belajar simpel past tense dan yg lainnya di bahasa Inggris.terimakasih Duolingo semoga kedepannya makin bagus",5,aku suka sangat bantu dan seruu banget tingkat lagi fitur tolong adakan untuk ajar simpel past tense lain di bahasa inggristerimakasih moga depan makin bagus
"meningkatkan belajar bahasa Inggris, walau ga selengkap seperti yg disekolah. Duolingo melatih pengucapan, mempelajari kata-kata baru, dan rumus kalimat walaupun rumusnya ga di jelasin.Eh tapi ga tau deh, karena saya ga mulai dari awal, mungkin dia ada jelasin rumus nya? dan Duolingo cukup membantu untuk saya yg ingin ada mata pelajaran B.Ing tiap hari. Thanks..",5,tingkat ajar bahasa inggris walau ga lengkap seperti seko latih ucap katakata baru dan rumus kalimat walaupun di jelasineh tapi tahu karena saya mulai dari awal mungkin dia ada jelasin cukup bantu untuk ingin bing tiap hari thanks
e aplikasi ini sangat membantu sih menurutku karena aku belajar di duolingo itu baru sebentar dan aku merasa kalau aku itu udh bisa ku kasih rating empat karena kalau bolos sekali aja nilainya kurang ok makasih duolingo,4,ini sangat bantu turut karena aku ajar di itu baru sebentar dan rasa kalau udh bisa ku kasih rating empat bolos sekali nilai kurang ok makasih
"Aplikasi ini sangat cocok untuk orang yang ingin belajar bahasa Inggris secara santai, mandiri, tetapi konsisten. Saya suka sekali, saya akan merekomendasikan aplikasi belajar ini kepada siswa-siswi saya.",5,ini sangat cocok untuk orang ingin ajar bahasa inggris cara santai mandiri tetapi konsisten saya suka sekali akan rekomendasi kepada siswasiswi
"Asik!! Belajar di sini bener² kaya main game, amazing.. ga nyesel deh unduh Duolingo buat belajar Bahasa² apapun. Duolingo juga sering banget ngingetin buat ""jangan lupa belajar"". Kita juga bisa belajar mendengar, menulis, mengucap. Ada beberapa tantangan dan kita juga bisa bersaing dg teman² yg ada di Duolingo loo.. Yuk buruan unduh, dan belajar😉😁.",5,asik ajar di sini bener2 kaya main game amazing ga nyesel unduh buat bahasa2 apa juga sering banget ngingetin jangan lupa kita bisa dengar tulis ucap ada beberapa tantang dan saing dg teman2 loo yuk buru
"Aplikasi ini membantu banget buat belajar bahasa baru, terus sering dikasih hadiah (kalo rajin latihan). Tiap minggu juga ada turnamen buat orang yang aktif buat latihan di Duolingo, jadi gak bakal bosen deh. Kalo kamu gak bisa jawab bukan salah Duolingo ya, itu berarti kamunya aja yang lolot.",5,ini bantu banget buat ajar bahasa baru terus sering kasih hadiah kalau rajin latih tiap minggu juga ada turnamen orang aktif di jadi tidak bakal bosen kamu bisa jawab bukan salah ya itu lolot
Duolingo sangat membantu ku dalam bhs inggris atau bhs lain selain itu ada banyak pilihan bhs nya membantu ku banget ada banyak kata yang aku belum bisa menjadi mudah sekali aku sangat suka dan ada alasan lain aku beri lima bintang dan Duolingo sangat mudah sekali 👁️👄👁️ ..........@Dea my 👁️👄👁️✌️ hi,5,sangat bantu ku dalam bhs inggris atau lain selain itu ada banyak banget kata aku belum bisa jadi mudah sekali suka dan alas beri lima bintang my hi
"Makasih duolingo, dengan begini saya bisa melanjutkan pengetahuan bahasa inggris lagi secara menyenangkan, walau sedikit ada bug. Tapi abaikan saja untuk bug, yang penting seru dan mengedukasi 😁✨ Oh iya, bisa gak jika tambahin bahasa yang lain?",5,makasih dengan begini saya bisa lanjut tahu bahasa inggris lagi cara senang walau sedikit ada bug tapi abai saja untuk penting seru dan edukasi oh tidak jika tambahin lain
"Aplikasi ini cukup mantaf untuk saya pakai dan cukup membantu saya berbicara bahasa inggris dan menambah pemahaman terbaru tentang bahasa inggris,dan juga pembelajaran nya yang seru dan unik,dimana lagi bisa belajar bahasa sambil rebahan tiduran pokoknya mantaf lah aplikasi ini,cocok buat yang mau belajar bahasa, dan juga ada pengingat setiap hari untuk belajar bahasa, dan juga bukan hanya belajar tentang tulisan bahasa belajar suara nya pun ada, mantaf lah ""sukses Duolingo""",5,ini cukup mantaf untuk saya dan bantu bahasa inggris tambah paham baru tentang inggrisdan juga ajar seru unikdimana lagi bisa sambil rebah tidur pokok lah inicocok buat mau ada ingat tiap hari bukan hanya tulis pun sukses
"Aplikasi nya sangat bagus untuk menambah pengetahuan tentang bahasa, saya memilih bahasa Inggris dikarenakan saya suka pelajaran bahasa Inggris untuk menambah pendidikan dan evaluasi pengetahuan saya. sekian aplikasi yang sangat berpendidikan. Terus berkembang Duolingo. ❤❤",5,sangat bagus untuk tambah tahu tentang bahasa saya inggris karena suka ajar didik dan evaluasi sekian terus kembang
"app nya bagus bangett! ngebantu aku buat belajar bahasa jepang, sama korea, di app nya juga bisa belajar huruf korea ( hangeul ), dan huruf jepang ( hiragana, katakana, kanji ), disini juga kita bisa belajar banyak bahasa asing lain nya! so buat yang pengen belajar bahasa asing, aku saranin download app ini, bcs ini nge bantu banget.",5,bagus bangett ngebantu aku buat ajar bahasa jepang sama korea di juga bisa huruf hangeul dan hiragana katakana kanji sini kita banyak lain so ken saranin ini bcs nge bantu banget
"Bener bener apk belajar bahasa terbaik krn meskipun gak bayar juga tetep bisa belajar bahasa dan nuga disini memudahkan banget karena kita bisa belajar banyak banget bahasa, dan bahasa yang sudah jarang dipakai sekalipun tetep ada. Jadi saya kasih bintang lima boleh lahh",5,bener ajar bahasa baik krn meski tidak bayar juga tetep bisa dan nuga sini mudah banget karena kita banyak sudah jarang sekalipun ada jadi saya kasih bintang lima boleh lahh
