content,score,clean_content
"aplikasinya bagusss buat belajar bahasa asingg dan mudah di mengerti,tapi terkadang terjadi bug yang tidak menyenangkan saat memutar atau membuat audio sehingga membuat beberapa pengguna tidak nyaman mohon untuk di perhatikan lagi.... tapi untuk kegunaannya masih banyak kelebihan di aplikasi ini jadi ayooo download",5,aplikasi bagus ajar bahasa asingg mudah mengertitapi terkadang bug senang putar audio nyaman mohon perhati ayo download
"asli, Duolingo bagus banget!😭 Dari awal malas banget belajar bahasa, tapi karena udah banyak update dan bisa buat ava, jadi makin cemungut belajar bahasa... Thank you Duolingo telah membuat aplikasi ini♥️ semoga bisa ditingkatkan lagi yaa (contoh: bisa chat orang luar negeri, ava ditingkatkan dll) >•<",5,asli bagus banget malas ajar bahasa update avatar cemungut thank you aplikasi moga tingkat yaa contoh chat negeri
"とても good.. aku bisa belajar bahasa Inggris dan Jepang secara bersamaan hehe.. misinya juga beragam😁 yah, walaupun setiap selesai main ada iklannya, tapi ya ngga apa-apa lah.. sebagai ganti gratisan wkwk.. so far bagussss bangetttt ❤️❤️ edit: tolong dong developer, ditambahkan fitur diskusi yang ada di pelajaran.. edited: wahai developer, aku mohon dengan sangat.. yang adil dong 😔.. masa aku yang menyelesaikan misi teman lebih banyak, temanku juga dapat hadiah 😔😔 kan ngga adillll",5,bagus ajar bahasa inggris jepang he misi agam yah selesai main iklan apaapa ganti gratis tertawa so far banget edit tolong developer fitur diskusi edited mohon adil hadiah
"Aplikasi yang seru, mudah dipahami, ada rank setiap Minggu, karakter yang imut, dan latihan kata. Namun beberapa yang tidak saya suka di app ini, kadang suka bug, foto akun tidak bisa diperbarui, ada LGBT yang menggangu, sangat tidak nyambung, padahal aplikasi ini sudah saya gunakan selama 4 tahun, namun sayang begitu kenyataan, saya hampir mau uninstall namun ah sudahlah.",1,aplikasi seru mudah paham rank minggu karakter imut latih suka app kadang bug foto akun lgbt menggangu nyambung sayang nyata uninstall ah
"aplikasinya seru, kayak game jadi kita gak bosen latihannya duolingo juga konsisten dalam mengajari kita berbahasa inggris, benar benar ingin kita fasih dalam berbahasa inggris. kalian juga bisa pilih metode pembelajaran yang cocok sama skill kalian.",5,aplikasi seru kayak game bosen latih konsisten ajar bahasa inggris fasih metode cocok skill
"Sangat membantu dalam belajar mendengar, berbicara, dan menulis bahasa-bahasa asing. Saya menyarankan semua orang kalau mau bisa berbicara bahasa inggris dsb, downloadlah aplikasi ini. Model pembelajarannya sangat bagus untuk orang yg lain sama sekali belum tahu banyak hal dalam pembelajaran bahasa asing.",5,bantu ajar dengar tulis bahasabahasa asing saran bahasa inggris downloadlah aplikasi model bagus
"Aplikasi ini berubah menjadi jelek dan lebih baik setelah update Karena: 1. Dulu duolingo memiliki visi belajar dengan gratis namun setelah update apk ini memiliki fitur berbayar untuk menghapus iklan dan lain hal sebagainya 2. Sebelum update tidak ada loading setelah menyelesaikan satu pelajaran kini loading menjadi lama padahal jaringan saya bagus 3. Setelah update pembelajaran dibuat lebih menantang dengan diberikannya nyawa dan diamond untuk melakukan kelas,aku mengapresiasi ini👍",4,aplikasi ubah jelek update milik visi ajar gratis fitur bayar hapus iklan loading selesai bagus tantang nyawa diamond laku kelasa apresiasi
"apk nya sangat membantu kami belajar bahasa baru, karna bantuan duolingo saya sudah bisa berbahasa Inggris,dan Korea, Terima kasih atas bantuan nya, love sebanyak banyak nya untuk developer dan pencipta apk ini, saya sangat terbantu ,di setiap pelajaran disekolah saya juga langsung paham, tapi ketika ada latihan berbicara aplikasi ini masih kurang mendengarkan apa yang saya ucapkan , sampai harus mengulang berkali kali, mohon perbaiki, thank you.",4,aplikasi bantu ajar bahasa inggrisdan korea terima kasih love developer cipta seko langsung paham latih dengar ulang kali mohon thank you
Saya uji coba penggunaan super duolinggo selama 2 minggu. Setelah 2 minggu uji coba uang saya pada aplikasi dana terkuras dg keterangan langganan super duolinggo selama 1 tahun!!! Padahal sebelum nya saya hanya uji coba!!! Dan saya tidak berlangganan untk MELANJUTKAN SUPER DUOLINGGO tapi uang saya tian tiba terkuras secara otomatisss!!!!,1,uji coba super duolinggo minggu uang aplikasi dana kuras terang langgan tian otomatis
"aplikasinya keren konsisten dan sangat membantu dalam menghafal vocabulary karena pelajarannya yg berulang lalu next level, desainnya juga menarik jadi membuat belajar terasa menyenangkan",5,aplikasi keren konsisten bantu hafal vocabulary ajar ulang level desain tarik asa senang
