clean_content,score,label
aplikasi bagus buat ajar bahasa asingg dan mudah di mengertitapi terkadang jadi bug tidak senang saat putar atau audio sehingga beberapa guna nyaman mohon untuk perhati lagi tapi masih banyak lebih ini ayo,5,positif
asli bagus banget dari awal malas ajar bahasa tapi karena udah banyak update dan bisa buat ava jadi makin you telah aplikasi ini moga tingkat lagi yaa contoh chat orang luar negeri dll,5,positif
good aku bisa ajar bahasa inggris dan jepang cara sama hehe misi juga agam yah walaupun tiap selesai main ada iklan tapi ya ngga apaapa lah bagai ganti gratis wkwk so far bagus banget edit tolong dong developer tambah fitur diskusi di edited wahai mohon dengan sangat adil masa lebih banyak dapat hadiah kan,5,positif
aplikasi seru mudah paham ada rank tiap minggu karakter imut dan latih kata namun beberapa tidak saya suka di ini kadang bug foto akun bisa baru lgbt menggangu sangat nyambung padahal sudah guna lama tahun sayang begitu nyata hampir mau uninstall ah,1,negatif
aplikasi seru kayak game jadi kita tidak bosen latih juga konsisten dalam ajar bahasa inggris benar ingin fasih kalian bisa metode cocok sama skill,5,positif
sangat bantu dalam ajar dengar dan tulis bahasabahasa saya saran semua orang kalau mau bisa bahasa inggris dsb downloadlah aplikasi ini model bagus untuk lain sama sekali belum tahu banyak hal,5,positif
aplikasi ini ubah jadi jelek dan lebih baik telah update karena dulu milik visi ajar dengan gratis namun fitur bayar untuk hapus iklan lain hal bagai belum tidak ada loading selesai satu kini lama padahal saya bagus buat tantang beri nyawa diamond laku kelasa apresiasi,4,positif
aplikasi sangat bantu kami ajar bahasa baru karna saya sudah bisa inggrisdan korea terima kasih atas love banyak untuk developer dan cipta ini di tiap seko juga langsung paham tapi ketika ada latih masih kurang dengar apa ucap sampai harus ulang kali mohon baik you,4,positif
saya uji coba guna super duolinggo lama minggu telah uang pada aplikasi dana kuras dg terang langgan tahun padahal belum hanya dan tidak untuk lanjut tapi tian tiba cara otomatis,1,negatif
aplikasi keren konsisten dan sangat bantu dalam hafal vocabulary karena ajar ulang lalu next level desain juga tarik jadi buat asa senang,5,positif
tambah detail dong kayak guna dehet sama dalam bahasa belanda dll karena jadi sulit untuk jawab soal bagi translate bingung juga trus ada bug mana gambar itu tidak animasi padahal di settings udah dinyalain kurang rame gitu lalu ini xp boost tapi timer menit gantung mungkin gabisa henti timernya lagi gamau ajar dan buang sia,3,netral
untuk terima kasih sudah bantu saya dalam bhs inggris tetapi ada satu masalah nih yaitu aplikasi kadang bug pada saat ajar jadi kita mau ini tidak bagus mantap lagi lah dan jangan supaya nyaman,5,positif
ini kok makin buka apknya ngeselin ya awal bagus tpi pas udh lama pake jadi suka error sendiri gitu kadang habis nyelesain soal muncul iklan nah biasa lah gratis tapi telah layar malah gelap tidak bisa pencet lagi harus kluar masuk aplikasi terus tiap kali ada dan audio hilang jawab aku cantum benar salah vn itu ketangkep padahal teriak baik,2,negatif
ajar sangat baguss untuk saya usia thn sayang ingin bahasa inggris karena agar bisa pergi2 hampir semua negara jadi tarik dari dualingo bagus tapi saat jawab dengan salah belum ya itu di gantung situ bingg mmu tetap lewat,5,positif
salut ini aplikasi kita ajar bahasa cara gratis meski ada fitur bayar lebih spektakuler sangat manfaat bagi saya sedang coba dan tapi andai kalau jepang ke pasti bagus lagi tolong adakan salin texttranslate karena ketika dapat komentar dari negara lain bisa tahu apa mereka ucap org arab komen jadi gk paham moga di read sama pihak tentang hal thanks,5,positif
aku suka sangat bantu dan seruu banget tingkat lagi fitur tolong adakan untuk ajar simpel past tense lain di bahasa inggristerimakasih moga depan makin bagus,5,positif
tingkat ajar bahasa inggris walau ga lengkap seperti seko latih ucap katakata baru dan rumus kalimat walaupun di jelasineh tapi tahu karena saya mulai dari awal mungkin dia ada jelasin cukup bantu untuk ingin bing tiap hari thanks,5,positif
e aplikasi ini sangat bantu turut karena aku ajar di itu baru sebentar dan rasa kalau udh bisa ku kasih rating empat bolos sekali nilai kurang ok makasih,4,positif
aplikasi ini sangat cocok untuk orang ingin ajar bahasa inggris cara santai mandiri tetapi konsisten saya suka sekali akan rekomendasi kepada siswasiswi,5,positif
asik ajar di sini bener2 kaya main game amazing ga nyesel unduh buat bahasa2 apa juga sering banget ngingetin jangan lupa kita bisa dengar tulis ucap ada beberapa tantang dan saing dg teman2 loo yuk buru,5,positif
aplikasi ini bantu banget buat ajar bahasa baru terus sering kasih hadiah kalau rajin latih tiap minggu juga ada turnamen orang aktif di jadi tidak bakal bosen kamu bisa jawab bukan salah ya itu lolot,5,positif
sangat bantu ku dalam bhs inggris atau lain selain itu ada banyak banget kata aku belum bisa jadi mudah sekali suka dan alas beri lima bintang my hi,5,positif
makasih dengan begini saya bisa lanjut tahu bahasa inggris lagi cara senang walau sedikit ada bug tapi abai saja untuk penting seru dan edukasi oh tidak jika tambahin lain,5,positif
aplikasi ini cukup mantaf untuk saya dan bantu bahasa inggris tambah paham baru tentang inggrisdan juga ajar seru unikdimana lagi bisa sambil rebah tidur pokok lah inicocok buat mau ada ingat tiap hari bukan hanya tulis pun sukses,5,positif
aplikasi sangat bagus untuk tambah tahu tentang bahasa saya inggris karena suka ajar didik dan evaluasi sekian terus kembang,5,positif
aplikasi bagus bangett ngebantu aku buat ajar bahasa jepang sama korea di juga bisa huruf hangeul dan hiragana katakana kanji sini kita banyak lain so ken saranin ini bcs nge bantu banget,5,positif
bener aplikasi ajar bahasa baik krn meski tidak bayar juga tetep bisa dan nuga sini mudah banget karena kita banyak sudah jarang sekalipun ada jadi saya kasih bintang lima boleh lahh,5,positif
terimakasih atas bimbing ajar ini sangat guna rekomendasi banget untuk bahasa saya juga baru beberapa bulan langsung rasa mengerticepet erti overall yah buat kalian mw inggris atau lain sekali lagi baik dan,5,positif
ini sangat bagus bisa latih bahasa inggris juga pasang wadget di layar utama seru banget kita ajar ngomong karakter sendiri dan ada tantang cepetan,5,positif
sangat suka dengan cara ajar di aplikasi ini namun terkadang ada kurang seperti pada tebak gambar layan itu waiter atau waitress karena sama satu orang lakilaki tapi jawab kadang dan untuk ponsel semua sesi sebut cell phone ketika hanya begitu saya mudah ulas kembali tingkat mampu bahasa inggris,4,positif
